Beta,mu_IR,rho,eta,N,loglik,loglik.se
19.383746371067375,2,0.2971774853228022,0.11424204245779719,37999.99999999999,-121.26237401491639,0.08832408387869926
19.383746371067375,2,0.2971774853228022,0.11424204245779719,37999.99999999999,-121.26237401491639,0.08832408387869926
20.89364868982127,2,0.2901578128219042,0.10988844733057032,38000,-121.36355467830693,0.09384138897212624
20.89364868982127,2,0.2901578128219042,0.10988844733057032,38000,-121.36355467830693,0.09384138897212624
23.000398391593336,2,0.28805829161825125,0.10219698576145096,38000.00000000001,-121.64761080096827,0.1520042918088658
23.000398391593336,2,0.28805829161825125,0.10219698576145096,38000.00000000001,-121.64761080096827,0.1520042918088658
20.384996462660443,2,0.32373879595317007,0.10719767963831962,38000.00000000001,-121.76669790020007,0.21207156866930102
20.384996462660443,2,0.32373879595317007,0.10719767963831962,38000.00000000001,-121.76669790020007,0.21207156866930102
24.601319662057588,2,0.3053926053625119,0.09554763263402699,38000,-121.79782637407416,0.13611788361530988
24.601319662057588,2,0.3053926053625119,0.09554763263402699,38000,-121.79782637407416,0.13611788361530988
22.52251649811062,2,0.3223434900814382,0.09794939875814203,38000,-121.98384444920845,0.17861903077052
22.52251649811062,2,0.3223434900814382,0.09794939875814203,38000,-121.98384444920845,0.17861903077052
18.593600646988804,2,0.32194572043272823,0.11847712469476836,38000,-122.02899064152213,0.11773985606507671
18.593600646988804,2,0.32194572043272823,0.11847712469476836,38000,-122.02899064152213,0.11773985606507671
23.04186579756377,2,0.31222845087140166,0.09690883024720295,38000,-122.33902290971865,0.10439250900444501
23.04186579756377,2,0.31222845087140166,0.09690883024720295,38000,-122.33902290971865,0.10439250900444501
21.70798620770616,2,0.3151681984765346,0.1064071178002064,38000,-122.35607768988527,0.11915890747292325
21.70798620770616,2,0.3151681984765346,0.1064071178002064,38000,-122.35607768988527,0.11915890747292325
20.75684911624651,1.9999999999999998,0.2883789863139138,0.10596019226798442,37999.99999999999,-122.36705994164595,0.08843986283274662
20.75684911624651,1.9999999999999998,0.2883789863139138,0.10596019226798442,37999.99999999999,-122.36705994164595,0.08843986283274662
26.30304166126163,2,0.3209286592533354,0.08962692590163478,38000,-122.54688001206188,0.10307489704318733
26.30304166126163,2,0.3209286592533354,0.08962692590163478,38000,-122.54688001206188,0.10307489704318733
21.869241617454534,2,0.2568955710187966,0.11166762519081572,38000.00000000001,-122.62005871799785,0.0942969376714436
21.869241617454534,2,0.2568955710187966,0.11166762519081572,38000.00000000001,-122.62005871799785,0.0942969376714436
24.91760039014681,2,0.2862569379192893,0.0958762926615633,38000,-122.62280568250056,0.07423606540365954
24.91760039014681,2,0.2862569379192893,0.0958762926615633,38000,-122.62280568250056,0.07423606540365954
27.261717944356587,2,0.31397964713292914,0.08661141314903385,38000,-123.04240991146928,0.10688704212751371
27.261717944356587,2,0.31397964713292914,0.08661141314903385,38000,-123.04240991146928,0.10688704212751371
24.902466553202355,2,0.3026554460905375,0.09732153233263287,38000,-123.12877523297529,0.058448360438754614
24.902466553202355,2,0.3026554460905375,0.09732153233263287,38000,-123.12877523297529,0.058448360438754614
29.376848066439027,2,0.3369176289296944,0.07966095853098841,38000,-123.58224993235767,0.1303137496287901
29.376848066439027,2,0.3369176289296944,0.07966095853098841,38000,-123.58224993235767,0.1303137496287901
23.88456683855839,2,0.2727876469528194,0.09625659120411192,38000,-123.8161265659096,0.20181589682811932
23.88456683855839,2,0.2727876469528194,0.09625659120411192,38000,-123.8161265659096,0.20181589682811932
24.52250910538633,2,0.352290253420622,0.08711645709129112,38000,-123.93779628246561,0.23806263942513767
24.52250910538633,2,0.352290253420622,0.08711645709129112,38000,-123.93779628246561,0.23806263942513767
25.122130758086683,2,0.3556047498096825,0.08604090401090171,38000,-123.98245121405604,0.1249866780554167
25.122130758086683,2,0.3556047498096825,0.08604090401090171,38000,-123.98245121405604,0.1249866780554167
22.42071544564012,2,0.29315283607807613,0.09688710081638699,38000,-124.0931770219128,0.2378320336888807
22.42071544564012,2,0.29315283607807613,0.09688710081638699,38000,-124.0931770219128,0.2378320336888807
20,2,0.5,0.1,38000,-126.56112719643254,0.46422028613969696
